STATE,TOTAL_POPULATION,VEHICLE_2009,VEHICLE_2010,VEHICLE_2011,VEHICLE_2012,VEHICLE_2013,VEHICLE_2014,VEHICLE_2015,IIP_2005,IIP_2006,IIP_2007,IIP_2008,IIP_2009,IIP_2010,IIP_2011,IIP_2012,IIP_2013,IIP_2014,IIP_2015,IIP_2016,IIP_2017,IIP_2018,AFOLU_2005,AFOLU_2006,AFOLU_2007,AFOLU_2008,AFOLU_2009,AFOLU_2010,AFOLU_2011,AFOLU_2012,AFOLU_2013,AFOLU_2014,AFOLU_2015,AFOLU_2016,AFOLU_2017,AFOLU_2018,WASTE_2005,WASTE_2006,WASTE_2007,WASTE_2008,WASTE_2009,WASTE_2010,WASTE_2011,WASTE_2012,WASTE_2013,WASTE_2014,WASTE_2015,WASTE_2016,WASTE_2017,WASTE_2018,NSDP_2024_25,NSDP_2023_24
ANDAMAN & NICOBAR ISLANDS,379944,8263,10988,12863,14632,16474,18314,20370,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-6451.464708,-6451.464708,-6451.464708,-6451.464708,-6451.464708,-6451.464708,-6451.464708,-127643.2725,-127643.2725,-127643.2725,-127643.2725,-127643.2725,-127643.2725,-127643.2725,3384.090919,3426.983005,3469.875092,3512.767178,3615.057397,3659.123848,4810.035394,4873.22481,4936.414226,4999.603642,5062.793058,5126.12333,5189.594457,5253.206439,279849.1875,310274
ANDHRA PRADESH,49378776,701920,777746,880817,1058184,1077849,403383,454054,9239.123931,4255.327006,4333.650063,3557.903188,1882.904471,9186.986738,48265.80261,109944.0874,90928.63446,153978.615,55694.17231,14051.78814,57009.21603,17847.64019,-2714922.54,-2714922.54,-2714922.54,-2714922.54,-2714922.54,-2714922.54,-2714922.54,-2810495.527,-2810495.527,-1572074.799,-1572074.799,-1572074.799,-1572074.799,-1572074.799,411712.2848,420718.9986,429725.7125,432995.3603,461453.2106,470942.1159,581861.8153,595631.6378,609401.4603,341186.9886,348914.6173,369791.8551,375360.5953,380929.3356,298059,266995
ARUNACHAL PRADESH,1382611,2595,2595,497651.5484,565338.2903,639230.8438,675622.0938,742272.5313,0,0,0,0,0,0,0,0,0,9620.701501,7664.77919,1485.959563,21218.50758,7072.83586,-50429.16061,-50429.16061,-50429.16061,-50429.16061,-50429.16061,-50429.16061,-50429.16061,-173881.9751,-173881.9751,-173881.9751,-173881.9751,-173881.9751,-173881.9751,-173881.9751,6832.400023,7041.169366,7249.93871,7458.708054,5650.368617,5798.862746,7702.269693,7947.750998,8193.232304,8438.71361,8684.194916,8932.590771,9183.901175,9438.126129,279849.1875,248826
ASSAM,31169272,203000,232546,269605,311917,383729,472273,508135,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-448228.8004,-448228.8004,-448228.8004,-448228.8004,-448228.8004,-448228.8004,-448228.8004,-529633.5906,-529633.5906,-529633.5906,-529633.5906,-529633.5906,-529633.5906,-529633.5906,80719.08854,82373.30862,84027.52869,85681.74877,87178.55567,88829.18606,97786.9144,99932.64071,102078.367,104224.0933,106369.8196,109812.9463,112010.8418,114224.7453,279849.1875,159002
BIHAR,103804637,103077,188031,136845,160340,184792,208205,235762,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-1189716.969,-1189716.969,-1189716.969,-1189716.969,-1189716.969,-1189716.969,-1189716.969,-1255880.862,-1255880.862,-1255880.862,-1255880.862,-1255880.862,-1255880.862,-1255880.862,187359.2818,192600.8611,197842.4403,203084.0196,200930.7792,206014.0803,211537.364,245137.3643,252564.8643,259992.3643,267419.8643,274847.3642,282235.751,289801.8941,279849.1875,66686
CHANDIGARH,1054686,218857,239014,265135,286584,310273,244504,261752,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-246.7884949,-246.7884949,-246.7884949,-246.7884949,-246.7884949,-246.7884949,-246.7884949,-122643.8079,-122643.8079,-122643.8079,-122643.8079,-122643.8079,-122643.8079,-122643.8079,25292.31939,25789.65828,26286.99717,13607.51564,13718.78429,14009.86921,65765.09017,67008.2907,68251.49124,69494.69177,70737.89231,42658.21827,43453.21983,44256.26242,279849.1875,482916
CHHATTISGARH,25144810,1802251,1956574,2116107,2172069,2416974,2568380,2730071,163477.0644,166870.689,75882.86575,13130.33498,1444.915594,4426.443621,13478.80579,13177.9331,23008.25412,23561.57276,16697.35617,26705.90182,27427.26386,6584.772514,-996240.571,-996240.571,-996240.571,-996240.571,-996240.571,-996240.571,-996240.571,-1136924.102,-1136924.102,-1136924.102,-1136924.102,-1136924.102,-1136924.102,-1136924.102,100577.6262,103407.8265,106238.0269,109068.2272,109964.6028,112734.1782,139877.6055,144182.6023,148487.5991,152792.5959,157097.5927,160790.6117,165164.083,169578.4236,184833,168567
DELHI,16753235,952400,1057383,1218030,1411898,1602129,1771298,2008748,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-8988.338378,-8988.338378,-8988.338378,-8988.338378,-8988.338378,-8988.338378,-8988.338378,-130911.1551,-130911.1551,-130911.1551,-130911.1551,-130911.1551,-130911.1551,-130911.1551,294992.1565,301526.7551,308061.3536,308679.6561,292227.4803,298147.4268,365777.3047,374557.3221,383337.3396,392117.357,400897.3745,414708.5708,423752.9891,432882.1845,279849.1875,515520
GOA,1457723,618942,720441,855596,989519,1134616,1278272,1420621,2260.925848,1997.188777,1448.061935,2245.393383,1212.748087,190.5782102,8.572154237,1300.306931,612.7394355,60.08541778,0,0,0,0,-12607.94939,-12607.94939,-12607.94939,-12607.94939,-12607.94939,-12607.94939,-12607.94939,-131078.0899,-131078.0899,-131078.0899,-131078.0899,-131078.0899,-131078.0899,-131078.0899,14321.23809,14589.46011,14857.68213,15125.90415,17219.47915,17537.86784,22721.29164,23183.78609,23646.28055,24108.77501,24571.26947,25034.61112,25498.79996,25963.836,279849.1875,674686
GUJARAT,60383628,80224,95791,116176,171382,187734,215546,245106,752.0256983,608.7285719,418.4161275,124.6215002,15.72254772,35.13585132,118.91951,169.3680578,870.3379491,407.7895021,467.5769052,159.1672838,350.0285395,114.6726177,-2050095.37,-2050095.37,-2050095.37,-2050095.37,-2050095.37,-2050095.37,-2050095.37,-2119131.757,-2119131.757,-2119131.757,-2119131.757,-2119131.757,-2119131.757,-2119131.757,386412.3943,396479.0955,406545.7966,408094.2029,406839.6291,416449.249,567782.7524,583174.8183,598566.8843,613958.9502,629351.0161,612279.3454,627301.1272,642424.0723,279849.1875,336875
